NODE	SUBGRPAH_ID	ORBIT	RAW_COUNT	WEIGHTED_COUNT
171627	NA	31	32	21,66045
171627	NA	32	0	0
171627	NA	33	0	0
171627	NA	34	0	0
171627	NA	35	18	11,24784
171627	NA	36	0	0
171627	NA	37	0	0
171627	NA	38	0	0
171627	NA	39	1	0,62488
171627	NA	40	0	0
171627	NA	41	0	0
171627	NA	42	0	0
171627	NA	43	0	0
171627	NA	44	0	0
171627	NA	45	5	3,1244
171627	NA	46	0	0
171627	NA	47	0	0
171627	NA	48	0	0
171627	NA	49	0	0
171627	NA	50	0	0
171627	NA	51	0	0
171627	NA	52	0	0
171627	NA	53	0	0
171627	NA	54	0	0
171627	NA	55	0	0
171627	NA	56	0	0
171627	NA	57	0	0
171627	NA	58	0	0
171627	NA	59	0	0
171627	NA	60	0	0
171627	NA	61	0	0
171627	NA	62	0	0
171627	NA	63	0	0
171627	NA	64	0	0
171627	NA	65	0	0
171627	NA	66	0	0
171627	NA	67	0	0
171627	NA	68	0	0
171627	NA	69	0	0
171627	NA	70	0	0
171627	NA	71	0	0
171627	NA	72	0	0
171635	NA	0	2	2
171635	NA	1	21	17,60734
171635	NA	2	1	0,83844
171635	NA	3	0	0
171635	NA	4	399	296,83232
171635	NA	5	21	14,21467
171635	NA	6	188	139,86084
171635	NA	7	0	0
171635	NA	8	0	0
171635	NA	9	2	1,48788
171635	NA	10	0	0
171635	NA	11	0	0
171635	NA	12	0	0
171635	NA	13	0	0
171635	NA	14	0	0
171635	NA	15	2158	1460,7266
171635	NA	16	399	232,37168
171635	NA	17	20	12,4976
171635	NA	18	20144	13635,25333
171635	NA	19	6044	3776,77364
171635	NA	20	188	109,48841
171635	NA	21	0	0
171635	NA	22	1104	747,28553
171635	NA	23	0	0
171635	NA	24	191	129,28581
171635	NA	25	0	0
171635	NA	26	0	0
171635	NA	27	108	73,10402
171635	NA	28	2	1,16477
171635	NA	29	0	0
171635	NA	30	0	0
171635	NA	31	36	24,36801
171635	NA	32	0	0
171635	NA	33	0	0
171635	NA	34	0	0
171635	NA	35	45	28,11959
171635	NA	36	0	0
171635	NA	37	0	0
171635	NA	38	0	0
171635	NA	39	0	0
171635	NA	40	0	0
171635	NA	41	0	0
171635	NA	42	0	0
171635	NA	43	0	0
171635	NA	44	0	0
171635	NA	45	1	0,62488
171635	NA	46	0	0
171635	NA	47	0	0
171635	NA	48	0	0
171635	NA	49	0	0
171635	NA	50	0	0
171635	NA	51	0	0
171635	NA	52	0	0
171635	NA	53	0	0
171635	NA	54	0	0
171635	NA	55	0	0
171635	NA	56	0	0
171635	NA	57	0	0
171635	NA	58	0	0
171635	NA	59	0	0
171635	NA	60	0	0
171635	NA	61	0	0
171635	NA	62	0	0
171635	NA	63	0	0
171635	NA	64	0	0
171635	NA	65	0	0
171635	NA	66	0	0
171635	NA	67	0	0
171635	NA	68	0	0
171635	NA	69	0	0
171635	NA	70	0	0
171635	NA	71	0	0
171635	NA	72	0	0
171646	NA	0	5	5
171646	NA	1	21	17,60734
171646	NA	2	8	6,70756
171646	NA	3	2	1,67689
171646	NA	4	320	238,06101
171646	NA	5	73	49,4129
171646	NA	6	101	75,138
171646	NA	7	5	3,7197
171646	NA	8	0	0
171646	NA	9	0	0
171646	NA	10	11	7,44578
